product_name, product_price
ILife Zed PC Intel Celeron Apollo Lake N3350 17.3 Inch Touch 32GB Hard Drive 3GB RAM White, 36750,https://www.sastodeal.com/ilife-zed-pc-intel-celeron-apollo-lake-n3350-17-3-inch-touch-32gb-hard-drive-3gb-ram-white-lif-sa-a.html
Dell Inspiron 15 5593 I7/10th Gen/8GB/512 GB SSD/4GB NVIDIA MX 230 Graphics, 112900,https://www.sastodeal.com/dell-inspiron-15-5593-i7-10th-gen-8gb-512-gb-ssd-4gb-nvidia-mx-230-graphics.html
Dell Inspiron 15 3593 I7 10th Gen|8GB|1Tb|2GB NVIDIA MX 230 Graphics, 96900,https://www.sastodeal.com/dell-inspiron-15-3593-i7-10th-gen-8gb-1tb-2gb-nvidia-mx-230-graphics.html
Dell Inspiron 14 3493 I3|10th Gen|4GB|1TB|Intel HD 620 Graphincs, 49900,https://www.sastodeal.com/dell-inspiron-14-3493-i3-10th-gen-4gb-1tb-intel-hd-620-graphincs.html
Dell Inspiron G7 7590 - i7 9750H | 16GB | 512SSD | NVIDIA® RTX 2070 8GB GDDR6 | FHD 240-Hz | Win 10, 289500,https://www.sastodeal.com/dell-inspiron-g7-7590-i7-9750h-16gb-512ssd-nvidiar-rtx-2070-8gb-gddr6-fhd-240-hz-win-10.html
Dell Inspiron G7 7590 - i7 9750H | 16GB | 256SSD + 1TB | NVIDIA® RTX 2060 6GB GDDR6 | FHD 144Hz | Win 10, 221500,https://www.sastodeal.com/dell-inspiron-g7-7590-i7-9750h-16gb-256ssd-1tb-nvidiar-rtx-2060-6gb-gddr6-fhd-144hz-win-10.html
Dell Inspiron G5 5590 - i7 9750H | 16GB | 512SSD | NVIDIA® RTX 2060 6GB GDDR6 | FHD | Win 10, 184500,https://www.sastodeal.com/dell-inspiron-g5-5590-i7-9750h-16gb-512ssd-nvidiar-rtx-2060-6gb-gddr6-fhd-win-10.html
Dell Inspiron 13 7391 - i7 10510U | 8GB | 512SSD | Intel |  | Touch 2 in 1, 149500,https://www.sastodeal.com/dell-inspiron-13-7391-i7-10510u-8gb-512ssd-intel-touch-2-in-1.html
Dell Inspiron G5 5590 - i5 9300H | 8GB | 128SSD + 1TB | NVIDIA® GTX 1650 4GB GDDR5 | FHD | Win 10, 146500,https://www.sastodeal.com/dell-inspiron-g5-5590-i5-9300h-8gb-128ssd-1tb-nvidiar-gtx-1650-4gb-gddr5-fhd-win-10.html
Dell Inspiron 13 7591 - i7 9750H | 8GB | 256SSD | NVIDIA® GTX 1050 3GB GDDR5 | Win 10, 145900,https://www.sastodeal.com/dell-inspiron-13-7591-i7-9750h-8gb-256ssd-nvidiar-gtx-1050-3gb-gddr5-win-10.html
Dell Inspiron 13 7391 - i5 10210U | 8GB | 512SSD | Intel |  | Touch 2 in 1, 139900,https://www.sastodeal.com/dell-inspiron-13-7391-i5-10210u-8gb-512ssd-intel-touch-2-in-1-sub-lap-11.html
Dell Inspiron 14 5491 - i7 10510U | 8GB | 256SSD | NVIDIA® 2GB |  | Touch 2 in 1De, 119900,https://www.sastodeal.com/dell-inspiron-14-5491-i7-10510u-8gb-256ssd-nvidiar-2gb-touch-2-in-1de.html
